종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
069500,KODEX 200,111290.0,0.865545837676168,-7.18174720446,258693.605,0.7676,0.16,111605.65,21478823.0,24053.00253631
360750,TIGER 미국S&P500,25445.0,-0.8378799688230709,-8.18733903091,201219.06,0.9822,0.06,25422.25,27446199.0,6996.47728931
133690,TIGER 미국나스닥100,174730.0,-0.7328712646290194,-10.485974216984,114290.893,0.5323,0.09,174528.97,5203556.0,9118.02872289
102110,TIGER 200,111535.0,0.7907102837520332,-7.048081052256,104062.155,0.837,0.07,111870.99,10075330.0,11306.51625135
396500,TIGER 반도체TOP10,37725.0,1.3295729250604351,-15.448299975087,100367.3625,0.2009,0.51,37859.83,8310540.0,3158.56022358
379800,KODEX 미국S&P500,23130.0,-0.8572653236176596,-8.190513275874,99620.91,2.0458,0.07,23109.01,17694197.0,4100.28438163
379810,KODEX 미국나스닥100,26125.0,-0.7220216606498195,-10.478819080413,90026.75,1.0716,0.1,26094.21,13961686.0,3654.93469323
488770,KODEX 머니마켓액티브,105467.0,0.006637587710980467,0.855213035459,79362.86283,1.4205,0.06,105468.12,512151.0,540.15701764
278530,KODEX 200TR,40295.0,0.750093761720215,-7.185360682612,78756.5775,0.0,0.08,40418.85,611826.0,247.91511097
459580,KODEX CD금리액티브(합성),1074207.0,0.008099653669981008,0.745112211897,65318.230842,2.7539,0.03,1074410.74,698486.0,7503.18790172
498400,KODEX 200타겟위클리커버드콜,21040.0,0.7904191616766467,-6.955103059459,60490.0,14.2985,0.42,21092.51,4699057.0,993.41216763
122630,KODEX 레버리지,113945.0,1.6005349977708425,-27.625708627905,60219.9325,0.0,0.65,114394.15,12326646.0,14204.91725775
091160,KODEX 반도체,134150.0,1.988064013380469,-6.961191570818,58221.1,0.0873,0.46,134753.24,1080598.0,1458.95564374
0167A0,SOL AI반도체TOP2플러스,18055.0,1.5752461322081575,-14.707015288443,57126.02,0.0,0.47,18106.13,9774499.0,1777.89513553
381180,TIGER 미국필라델피아반도체나스닥,41420.0,-0.1446480231436837,-16.200017847825,56227.65,0.4112,0.6,41334.17,1114392.0,462.48398367
229200,KODEX 코스닥150,14015.0,2.3739956172388603,-12.699257431604,47223.5425,0.2032,0.28,14098.84,23074657.0,3237.77050561
148020,RISE 200,112145.0,0.8226197968174054,-7.12632478163,45643.015,0.9063,0.04,112442.93,558928.0,629.76144875
310970,TIGER MSCI Korea TR,49745.0,0.678000404776361,-6.904978448733,45118.715,0.0,0.16,49876.05,6820.0,3.42751677
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,13760.0,0.5847953216374269,0.087343310809,42091.84,0.27,0.02,13785.78,5713160.0,788.92872227
458730,TIGER 미국배당다우존스,14505.0,-1.0235414534288638,-4.93417809722,42035.49,2.9272,0.06,14511.51,1764432.0,256.43861645
395160,KODEX AI반도체TOP2플러스,41040.0,0.6499080318822809,-9.454773824709,41573.52,0.086,0.51,41197.41,3177326.0,1314.59642766
411060,ACE KRX금현물,26395.0,-1.142322097378277,-9.86692975474,39381.34,0.0037,0.31,26399.01,769192.0,202.9439414
0043B0,TIGER 머니마켓액티브,103595.0,0.009653907419027852,0.902123783089,38887.4911,0.6961,0.05,103600.51,70521.0,73.0578612
360200,ACE 미국S&P500,25720.0,-0.8481110254433307,-8.181386174581,38734.32,0.9716,0.07,25700.77,1028815.0,265.17021
381170,TIGER 미국테크TOP10 INDXX,30060.0,-0.7101568951279934,-10.236383387611,37154.16,0.2539,0.55,29981.02,740912.0,223.00187682
395270,HANARO Fn K-반도체,58400.0,1.2219429759944536,-8.784277807065,36792.0,0.1296,0.51,58629.3,1060693.0,624.06154261
423160,KODEX KOFR금리액티브(합성),110735.0,0.004515488124266233,0.692484039656,35637.84505,2.6103,0.06,110728.91,54081.0,59.8877378
357870,TIGER CD금리투자KIS(합성),58030.0,0.008616975441619991,0.75194315744,35594.4414,0.112,0.05,58025.72,112333.0,65.18445545
