종목코드,종목명,현재가,NAV,3개월수익률,거래량,거래대금,시가총액(억),등락률
379790,RISE 유로스탁스50(H),17320,17404.0,4.7354,19225,335,191,0.0
183710,RISE 주식혼합,94680,94019.0,-12.2903,362,34,189,0.36
228820,TIGER KTOP30,18925,18939.0,-15.9551,7734,149,189,-0.92
0104P0,TIGER 코리아배당다우존스위클리커버드콜,11095,11100.0,-3.4572,6266,69,189,-0.49
487950,KODEX 대만테크고배당다우존스,12960,12724.0,-14.9017,13616,175,188,-0.46
229720,KODEX KTOP30,37500,37531.0,-16.0974,2487,94,188,-0.91
0144M0,KODEX 미국드론UAM TOP10,6810,6820.0,-30.7889,8891,60,187,0.15
445910,TIGER MKF배당귀족,20775,20795.0,-4.5732,1110,23,187,-0.6
445690,BNK 주주가치액티브,30925,30631.0,-10.6497,98,3,186,0.16
0198B0,1Q 삼성전자선물단일종목레버리지,11975,11935.0,-51.9437,43912,548,184,0.38
276000,TIGER 글로벌자원생산기업(합성 H),21630,21593.0,22.6091,5018,108,184,-13.48
225060,TIGER 이머징마켓MSCI레버리지(합성 H),17275,17296.0,0.8756,850,14,183,-0.03
0105D0,SOL 한국AI소프트웨어,9562,9569.0,-19.8465,60769,592,182,-3.56
0018Z0,RISE 미국양자컴퓨팅,17200,17134.0,-27.4505,5464,94,181,0.15
227830,PLUS 코스피,71990,71955.0,-14.5968,1390,101,180,-0.12
0193K0,PLUS 삼성전자단일종목레버리지,12595,12692.0,-50.3352,18093,236,179,0.0
289260,TIGER MSCI KOREA ESG리더스,29455,29446.0,-9.2358,3017,90,177,-0.59
391670,HK 베스트일레븐액티브,29375,29332.0,-16.1546,589,17,176,0.62
461910,PLUS 미국테크TOP10레버리지(합성),35180,35068.0,-24.7386,555,19,176,-0.23
292050,RISE KRX300,50230,50103.0,-14.7724,580,29,176,-0.61
461900,PLUS 미국테크TOP10,21970,21942.0,-11.6881,317,6,176,-0.25
385600,ACE 2차전지&친환경차액티브,11700,11707.0,-22.4582,5472,65,176,-2.9
449580,RISE 테슬라애플아마존채권혼합,15955,15999.0,-5.6462,6472,103,176,-0.13
195920,TIGER 일본TOPIX(합성 H),34920,34973.0,4.328,3149,111,175,-1.79
460660,RISE 미국S&P배당킹,11550,11588.0,-3.418,5968,68,173,-0.09
468370,KODEX iShares미국인플레이션국채액티브,10335,10355.0,-13.7823,22453,231,173,0.15
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,9780,9822.0,0.5014,5165,50,171,-0.46
457690,KODEX 33-06 국고채액티브,10475,10462.0,0.6727,10449,109,170,0.0
250730,RISE 차이나HSCEI(H),9900,9944.0,0.5115,1385,13,168,0.76
219390,RISE 미국S&P원유생산기업(합성 H),8405,8360.0,11.0742,67100,558,168,0.36
415760,SOL 차이나육성산업액티브(합성),12305,12444.0,-14.9644,9811,121,167,-1.8
130680,TIGER 원유선물Enhanced(H),7720,7700.0,3.6684,23833,181,166,1.18
477490,에셋플러스 글로벌일등기업포커스10액티브,18435,18452.0,-16.0735,561,10,166,-0.41
474920,에셋플러스 차이나일등기업포커스10액티브,17620,17591.0,-11.7691,201,3,166,-0.62
131890,ACE 삼성그룹동일가중,40685,40520.0,-8.7855,365,15,163,-0.42
419650,PLUS 글로벌수소&차세대연료전지,4985,5002.0,-34.6431,11785,59,162,-0.1
332620,PLUS 미국장기우량회사채,85630,85879.0,-16.0814,303,25,160,0.12
483330,ACE 마이크로소프트밸류체인액티브,14485,14541.0,-12.224,8281,119,159,-0.14
0223A0,RISE 코스닥커버드콜액티브,10275,10256.0,,362689,3838,159,-1.44
494420,PLUS 미국배당증가성장주데일리커버드콜,8825,8884.0,-11.0679,5837,51,159,0.0
265690,ACE 러시아MSCI(합성),8535,48.0,0.0,0,0,158,0.0
291130,ACE MSCI멕시코(합성),17415,17598.0,-12.4192,495,8,157,-1.02
236350,TIGER 인도니프티50레버리지(합성),25130,25399.0,-22.8529,5517,138,156,-2.69
413930,WON AI ESG액티브,28205,28164.0,-16.3345,2442,70,155,0.3
432840,HANARO 미국S&P500,19260,19329.0,-10.861,1125,21,154,-0.05
438900,HANARO Fn K-푸드,11395,11427.0,4.2621,112883,1291,154,-0.91
491510,파워 K-주주가치액티브,18060,18087.0,-0.529,431,7,154,-0.91
337150,KODEX 200exTOP,25505,25530.0,-12.2061,600,15,153,-1.45
0222D0,KoAct 고배당액티브,10505,10506.0,,220772,2327,152,-0.76
114460,ACE 국고채3년,100190,100177.0,1.0028,700,70,150,0.04
0051A0,KoAct 브로드컴밸류체인액티브,23020,22850.0,-20.2795,622,14,150,0.88
104520,KIWOOM 블루칩,14960,14934.0,-9.1083,55,0,150,-0.4
0222F0,마이티 AI데이터센터밸류체인,12990,12979.0,,2959,39,149,-2.15
488290,MIDAS 일본테크액티브,42630,42761.0,-20.2474,1050,45,149,-1.34
272570,RISE 중장기국공채액티브,107905,107891.0,1.0583,22,2,149,0.01
0207Z0,KIWOOM 미국우주데이터센터인프라,6870,6838.0,,6351,43,148,0.29
453010,PLUS KOFR금리,109905,109915.0,0.6686,958,105,147,0.0
404650,SOL KRX기후변화솔루션,24490,24001.0,-17.1715,116,2,147,0.47
